Conference,School,Abbr,Team,Color,Lat,Long,K,Logo,,ESPN
Mountain West,Air Force,AIR,Falcons,#003087,38.997064,-104.843512,1,https://cdn.bleacherreport.net/images/team_logos/328x328/air_force_football.png,,http://espn.go.com/college-football/team/_/id/2005/air-force-falcons
MAC,Akron,AKR,Zips,#041E42,41.072587,-81.508347,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2006.gif,,http://espn.go.com/college-football/team/_/id/2006/akron-zips
SEC,Alabama,BAMA,Crimson Tide,#9e1b32,33.207648,-87.550451,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/333.gif,,http://espn.go.com/college-football/team/_/id/333/alabama-crimson-tide
Sun Belt,Appalachian St.,APP,Mountaineers,#ffcc00,36.211609,-81.685488,1,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Appalachian_State_Mountaineers_logo.svg/1200px-Appalachian_St._Mountaineers_logo.svg.png,,
Pac-12,Arizona,ARIZ,Wildcats,#003366,32.22884,-110.948843,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/12.gif,,http://espn.go.com/college-football/team/_/id/12/arizona-wildcats
Pac-12,Arizona St.,AZST,Sun Devils,#FFC627,33.426431,-111.932575,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/9.gif,,http://espn.go.com/college-football/team/_/id/9/arizona-St.-sun-devils
SEC,Arkansas,ARK,Razorbacks,#9D2235,36.068083,-94.17894,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/8.gif,,http://espn.go.com/college-football/team/_/id/8/arkansas-razorbacks
Sun Belt,Arkansas St.,ARKS,Red Wolves,#cc092f,35.848915,-90.667194,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2032.gif,,http://espn.go.com/college-football/team/_/id/2032/arkansas-St.-red-wolves
D1 Independents,Army,ARMY,Black Knights,#D4BF91,41.387567,-73.964124,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/349.gif,,http://espn.go.com/college-football/team/_/id/349/army-black-knights
SEC,Auburn,AUB,Tigers,#0C2340,32.602223,-85.489141,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2.gif,,http://espn.go.com/college-football/team/_/id/2/auburn-tigers
MAC,Ball St.,BALL,Cardinals,#BA0C2F ,40.216023,-85.416775,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2050.gif,,http://espn.go.com/college-football/team/_/id/2050/ball-St.-cardinals
